epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,396.451,0.51792,0.37653,0.94227,0.97963,1,0.99396,0.93805,0.38216,0.35682,0.87506,0.0017855,0.0017855,0.0017855
67,402.152,0.53261,0.3997,0.93771,0.97055,0.99861,0.99066,0.91332,0.4226,0.36869,0.89164,0.0017822,0.0017822,0.0017822
68,407.848,0.53459,0.39018,0.93604,0.99473,1,0.995,0.93592,0.40919,0.30161,0.89028,0.0017789,0.0017789,0.0017789
69,413.505,0.49769,0.37617,0.93153,0.99894,1,0.995,0.94006,0.39546,0.29903,0.89169,0.0017756,0.0017756,0.0017756
70,419.194,0.50037,0.38455,0.92605,0.99705,0.9697,0.98956,0.94217,0.39437,0.32586,0.89289,0.0017723,0.0017723,0.0017723
71,424.89,0.50339,0.38659,0.92252,0.99897,0.98485,0.99217,0.94944,0.44186,0.33191,0.89261,0.001769,0.001769,0.001769
72,430.752,0.54252,0.40314,0.92348,0.99862,0.98485,0.99457,0.9522,0.39149,0.31152,0.88153,0.0017657,0.0017657,0.0017657
73,436.582,0.52036,0.38493,0.93382,0.99864,1,0.995,0.95408,0.41132,0.3022,0.88639,0.0017624,0.0017624,0.0017624
74,442.264,0.51902,0.38944,0.94726,0.99708,1,0.995,0.91774,0.4011,0.35135,0.8854,0.0017591,0.0017591,0.0017591
75,447.948,0.52746,0.38359,0.928,0.97903,1,0.99455,0.91539,0.43338,0.34836,0.88575,0.0017558,0.0017558,0.0017558
76,453.63,0.53186,0.38717,0.94322,0.99848,1,0.995,0.93382,0.41735,0.30781,0.88818,0.0017525,0.0017525,0.0017525
77,459.301,0.51554,0.3633,0.92686,0.99859,1,0.995,0.9361,0.42396,0.32689,0.89389,0.0017492,0.0017492,0.0017492
78,464.982,0.53296,0.37266,0.9356,0.99524,1,0.995,0.93713,0.40412,0.34109,0.87994,0.0017459,0.0017459,0.0017459
79,470.674,0.50493,0.36721,0.89962,0.99904,1,0.995,0.94305,0.36367,0.27341,0.87938,0.0017426,0.0017426,0.0017426
80,476.33,0.49176,0.36199,0.92993,0.9985,1,0.995,0.95468,0.39438,0.28826,0.88416,0.0017393,0.0017393,0.0017393
81,482.032,0.47762,0.35227,0.91864,0.98344,1,0.995,0.94555,0.39574,0.30465,0.8879,0.001736,0.001736,0.001736
82,487.722,0.50903,0.36346,0.9331,0.99778,1,0.995,0.94673,0.40073,0.30386,0.88173,0.0017327,0.0017327,0.0017327
83,493.417,0.50453,0.35897,0.94365,0.99706,1,0.995,0.9519,0.36973,0.27738,0.8775,0.0017294,0.0017294,0.0017294
84,499.124,0.50696,0.36288,0.9308,0.99893,1,0.995,0.94386,0.4062,0.29886,0.87496,0.0017261,0.0017261,0.0017261
85,504.802,0.49736,0.36553,0.93096,0.99914,1,0.995,0.93731,0.40412,0.30148,0.87971,0.0017228,0.0017228,0.0017228
86,510.539,0.48976,0.36349,0.92424,0.98192,1,0.99485,0.93616,0.38777,0.29805,0.87962,0.0017195,0.0017195,0.0017195
87,516.362,0.49618,0.3732,0.91542,0.99825,1,0.995,0.92916,0.4032,0.28145,0.87732,0.0017162,0.0017162,0.0017162
88,522.014,0.50065,0.34949,0.91345,0.99733,1,0.995,0.95491,0.37667,0.28054,0.87278,0.0017129,0.0017129,0.0017129
89,527.7,0.51232,0.38093,0.93604,0.99845,0.98485,0.99471,0.91193,0.44185,0.32292,0.89169,0.0017096,0.0017096,0.0017096
90,533.376,0.53838,0.38492,0.94306,0.99945,1,0.995,0.94771,0.38383,0.2822,0.88264,0.0017063,0.0017063,0.0017063
91,539.063,0.54688,0.37006,0.95343,0.99848,1,0.995,0.9339,0.42288,0.28288,0.87877,0.001703,0.001703,0.001703
92,544.747,0.4887,0.34589,0.90529,0.9992,1,0.995,0.9541,0.38912,0.28981,0.87343,0.0016997,0.0016997,0.0016997
93,550.406,0.52081,0.36795,0.93677,1,0.99829,0.995,0.94135,0.38187,0.28928,0.86789,0.0016964,0.0016964,0.0016964
94,556.259,0.50952,0.36262,0.91197,0.97997,1,0.99455,0.94355,0.36767,0.26122,0.86852,0.0016931,0.0016931,0.0016931
95,561.938,0.47986,0.34367,0.92132,0.99745,1,0.995,0.96316,0.35327,0.27451,0.87412,0.0016898,0.0016898,0.0016898
96,567.621,0.51526,0.36006,0.94155,0.99868,1,0.995,0.94717,0.36665,0.26858,0.88011,0.0016865,0.0016865,0.0016865
97,573.362,0.47377,0.33586,0.90181,0.99917,1,0.995,0.93526,0.41379,0.28103,0.89144,0.0016832,0.0016832,0.0016832
98,579.097,0.46777,0.32907,0.90536,0.99945,1,0.995,0.93003,0.42182,0.28134,0.89581,0.0016799,0.0016799,0.0016799
