epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2329.79,0.90513,0.58001,0.96661,0.91174,0.80586,0.88073,0.62298,0.83866,0.49225,0.95724,0.008383,0.008383,0.008383
100,2353.21,0.92459,0.57847,0.96322,0.89845,0.79541,0.87744,0.62729,0.84162,0.49835,0.95581,0.0083665,0.0083665,0.0083665
101,2376.71,0.95421,0.59868,0.97656,0.89108,0.82025,0.87478,0.62949,0.85489,0.49559,0.9564,0.00835,0.00835,0.00835
102,2399.95,0.935,0.59298,0.9778,0.9061,0.82011,0.88199,0.62985,0.8398,0.4888,0.95512,0.0083335,0.0083335,0.0083335
103,2423.17,0.9344,0.57759,0.97251,0.90078,0.80343,0.867,0.62864,0.84734,0.50036,0.95683,0.008317,0.008317,0.008317
104,2446.53,0.9062,0.57343,0.97026,0.89452,0.81486,0.8801,0.62812,0.83393,0.50426,0.95625,0.0083005,0.0083005,0.0083005
105,2469.75,0.91506,0.56804,0.97681,0.90474,0.80217,0.88384,0.63456,0.837,0.50913,0.95482,0.008284,0.008284,0.008284
106,2493.97,0.92102,0.59758,0.9828,0.8782,0.81623,0.874,0.63061,0.83811,0.49747,0.95205,0.0082675,0.0082675,0.0082675
107,2517.31,0.9252,0.58304,0.97029,0.89661,0.80508,0.88505,0.63305,0.83257,0.49278,0.95,0.008251,0.008251,0.008251
108,2540.5,0.90255,0.57142,0.96418,0.88496,0.82977,0.87969,0.6345,0.83208,0.48532,0.94628,0.0082345,0.0082345,0.0082345
109,2563.6,0.90686,0.57803,0.96453,0.88891,0.82455,0.87546,0.63705,0.82273,0.48353,0.95173,0.008218,0.008218,0.008218
110,2587.02,0.90843,0.57637,0.97696,0.91155,0.82687,0.8831,0.63005,0.83007,0.49151,0.95319,0.0082015,0.0082015,0.0082015
111,2610.46,0.92747,0.57116,0.98388,0.90865,0.83619,0.88391,0.63906,0.83028,0.48431,0.95584,0.008185,0.008185,0.008185
112,2633.98,0.92103,0.57272,0.96782,0.90028,0.81728,0.88798,0.64147,0.83401,0.48669,0.95175,0.0081685,0.0081685,0.0081685
113,2657.95,0.8988,0.57162,0.96359,0.84462,0.83328,0.87436,0.63497,0.83066,0.48553,0.95424,0.008152,0.008152,0.008152
114,2681.24,0.9142,0.56819,0.96468,0.89684,0.82272,0.87653,0.62638,0.83983,0.48708,0.95392,0.0081355,0.0081355,0.0081355
